"","geo_id","tract","tract_num","less10","10to19","20to29","30to39","40to59","60to89","90plus","total_outside","workedhome","total","avgcommute"
"197","08005082600","Census Tract 826, Arapahoe County, Colorado",82600,16,668,933,649,329,119,68,2782,15,2797,"28"
"198","08005082700","Census Tract 827, Arapahoe County, Colorado",82700,204,247,378,312,270,266,30,1707,42,1749,"33"
"199","08005082800","Census Tract 828, Arapahoe County, Colorado",82800,83,509,696,677,373,129,37,2504,128,2632,"28"
"200","08005082900","Census Tract 829, Arapahoe County, Colorado",82900,106,302,512,663,495,250,59,2387,23,2410,"34"
"201","08005083000","Census Tract 830, Arapahoe County, Colorado",83000,42,455,670,476,181,81,49,1954,20,1974,"28"
"202","08005083100","Census Tract 831, Arapahoe County, Colorado",83100,76,659,951,1009,630,123,99,3547,205,3752,"30"
"203","08005083200","Census Tract 832, Arapahoe County, Colorado",83200,179,749,831,1638,855,275,82,4609,274,4883,"32"
"204","08005083300","Census Tract 833, Arapahoe County, Colorado",83300,122,455,684,619,493,140,23,2536,33,2569,"29"
"205","08005083400","Census Tract 834, Arapahoe County, Colorado",83400,198,607,877,1160,514,259,37,3652,327,3979,"30"
"206","08005083500","Census Tract 835, Arapahoe County, Colorado",83500,128,843,567,677,444,151,25,2835,92,2927,"28"
"207","08005083600","Census Tract 836, Arapahoe County, Colorado",83600,84,478,633,454,305,86,43,2083,54,2137,"29"
"208","08005083700","Census Tract 837, Arapahoe County, Colorado",83700,120,450,565,442,290,44,25,1936,174,2110,"27"
"209","08005083800","Census Tract 838, Arapahoe County, Colorado",83800,42,453,452,275,224,58,15,1519,62,1581,"27"
"210","08005083900","Census Tract 839, Arapahoe County, Colorado",83900,73,319,402,422,181,71,13,1481,166,1647,"27"
"211","08005084000","Census Tract 840, Arapahoe County, Colorado",84000,78,268,271,230,237,57,18,1159,33,1192,"28"
"212","08005084100","Census Tract 841, Arapahoe County, Colorado",84100,83,407,521,691,424,128,8,2262,57,2319,"30"
"213","08005084200","Census Tract 842, Arapahoe County, Colorado",84200,36,340,654,479,306,112,21,1948,75,2023,"30"
"214","08005084300","Census Tract 843, Arapahoe County, Colorado",84300,64,290,511,454,301,172,31,1823,130,1953,"31"
"215","08005084400","Census Tract 844, Arapahoe County, Colorado",84400,91,262,497,441,109,133,21,1554,102,1656,"29"
"216","08005084500","Census Tract 845, Arapahoe County, Colorado",84500,68,355,636,292,225,117,88,1781,45,1826,"35"
"217","08005084600","Census Tract 846, Arapahoe County, Colorado",84600,115,522,662,684,430,144,64,2621,168,2789,"31"
"218","08005084700","Census Tract 847, Arapahoe County, Colorado",84700,124,573,702,552,304,78,21,2354,98,2452,"26"
"219","08005084800","Census Tract 848, Arapahoe County, Colorado",84800,56,400,519,386,436,163,29,1989,80,2069,"32"
"220","08005084900","Census Tract 849, Arapahoe County, Colorado",84900,98,491,291,343,257,122,67,1669,180,1849,"31"
"221","08005085000","Census Tract 850, Arapahoe County, Colorado",85000,88,235,258,243,88,53,0,965,23,988,"24"
"222","08005085100","Census Tract 851, Arapahoe County, Colorado",85100,109,667,1017,716,380,134,25,3048,301,3349,"27"
"223","08005085200","Census Tract 852, Arapahoe County, Colorado",85200,55,307,366,258,204,32,32,1254,188,1442,"28"
"224","08005085300","Census Tract 853, Arapahoe County, Colorado",85300,162,139,329,286,206,116,33,1271,122,1393,"32"
"225","08005085400","Census Tract 854, Arapahoe County, Colorado",85400,151,366,632,600,455,181,25,2410,187,2597,"30"
"226","08005085500","Census Tract 855, Arapahoe County, Colorado",85500,73,606,645,739,438,119,72,2692,323,3015,"30"
"227","08005085600","Census Tract 856, Arapahoe County, Colorado",85600,111,374,419,460,216,88,24,1692,171,1863,"28"
"228","08005085700","Census Tract 857, Arapahoe County, Colorado",85700,110,381,668,538,401,236,100,2434,94,2528,"33"
"229","08005085800","Census Tract 858, Arapahoe County, Colorado",85800,57,151,226,156,222,60,7,879,37,916,"30"
"230","08005085900","Census Tract 859, Arapahoe County, Colorado",85900,103,234,579,555,389,152,47,2059,120,2179,"32"
"231","08005086000","Census Tract 860, Arapahoe County, Colorado",86000,144,433,1195,986,933,287,94,4072,393,4465,"32"
"232","08005086100","Census Tract 861, Arapahoe County, Colorado",86100,63,382,439,840,385,160,30,2299,211,2510,"31"
"233","08005086200","Census Tract 862, Arapahoe County, Colorado",86200,111,592,974,1000,441,198,51,3367,209,3576,"29"
"234","08005086300","Census Tract 863, Arapahoe County, Colorado",86300,194,897,494,430,324,86,44,2469,148,2617,"25"
"235","08005086400","Census Tract 864, Arapahoe County, Colorado",86400,66,182,332,211,123,15,9,938,195,1133,"26"
