id,geoid10,nhid,nhname,createdAt,updatedAt
282,8013012709,187,Gunbarrel,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
283,8013012710,164,Louisville,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
284,8013012800,160,West Erie,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
285,8013012903,163,Lafayette,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
286,8013012904,163,Lafayette,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
387,8031001401,54,Ruby Hill,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
287,8013012905,162,Southeast Lafayette and Rock Creek Farm Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
288,8013012907,163,Lafayette,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
289,8013013003,164,Louisville,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
290,8013013004,164,Louisville,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
291,8013013005,164,Louisville,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
292,8013013006,164,Louisville,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
293,8013013201,175,Longs Peak,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
294,8013013202,181,West Boulder including Ward and Jamestown,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
295,8013013205,159,Niwot,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
296,8013013207,188,McIntosh Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
297,8013013208,188,McIntosh Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
298,8013013210,168,Kamemoto Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
299,8013013211,176,Standley Hill,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
300,8013013212,167,Willow Creek Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
301,8013013213,158,Southwest Longmont,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
302,8013013302,182,Roosevelt Park and Sunset Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
303,8013013305,172,Garden Acres Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
304,8013013306,171,Clark Centennial Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
305,8013013307,171,Clark Centennial Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
306,8013013308,171,Clark Centennial Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
307,8013013401,171,Clark Centennial Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
308,8013013402,171,Clark Centennial Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
309,8013013503,171,Clark Centennial Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
