nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
150,dist2,1614,CIMARRON ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000243E3E213B325AC0F80B3D62F4D24340
150,dist3,4276,INDEPENDENCE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,01010000008096AE601B335AC0185A48C0E8D04340
151,dist1,465,AURORA FRONTIER K-8,Preschool,8th Grade,ARAPAHOE,01010000009826A5A0DB2F5AC08093180456D44340
151,dist2,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000000219221C72F5AC070D9E89C9FD24340
151,dist3,7865,SIDE CREEK ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000545BB1BFEC305AC018BA4BE2ACD64340
152,dist1,7232,AURORA QUEST K-8,Kindergarten,8th Grade,ARAPAHOE,01010000005C88D51F61355AC050E6913F18DA4340
152,dist2,9514,WHEELING ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,01010000005C88D51F61355AC050E6913F18DA4340
152,dist3,9140,VIRGINIA COURT ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000A8716F7EC3355AC058C5C6BC8EDA4340
153,dist1,213,AXL ACADEMY,Preschool,8th Grade,ARAPAHOE,010100000004302C7FBE345AC038B324404DD74340
153,dist2,2428,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000088B1135E82365AC030357BA015D64340
153,dist3,9108,VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000743F6EBF7C365AC0904BC79C67D84340
154,dist1,2114,DARTMOUTH ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000AC9B525E2B335AC0183FC6DCB5D44340
154,dist2,2095,DALTON ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,01010000004C07B29E5A325AC0E0EB6B5D6AD44340
154,dist3,5934,MISSION VIEJO ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000180BD12170335AC0C04082E2C7D24340
155,dist1,243,COYOTE HILLS ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,01010000009C1DA9BEF32C5AC048C5AA4198CB4340
155,dist2,4448,BLACK FOREST HILLS ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000014EA77616B2C5AC0486DA983BCCA4340
155,dist3,6955,PINE RIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000030535A7F4B2C5AC0F018C91EA1CC4340
156,dist1,8380,SUMMIT ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000F4B4C35F93315AC090608E1EBFD14340
156,dist2,1614,CIMARRON ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000243E3E213B325AC0F80B3D62F4D24340
156,dist3,8394,SUNRISE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000BC22BF7E88305AC050B8ACC266D24340
157,dist1,1996,CREST VIEW ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000DC60360186515AC0B85ED38382064440
157,dist2,3022,FOOTHILL ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,010100000004FD851E31525AC00061527C7C044440
157,dist3,1842,COLUMBINE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000D4F4673F52515AC04047567E19044440
158,dist1,2343,EAGLE CREST ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000007415527E524A5AC080A5F3E159124440
158,dist2,878,BLUE MOUNTAIN ELEMENTARY,Preschool,5th Grade,BOULDER,010100000060CAC0012D4B5AC0D079AA436E124440
158,dist3,7565,ST. VRAIN COMMUNITY MONTESSORI SCHOOL,Preschool,8th Grade,BOULDER,0101000000284701A260485AC040F2CEA10C134440
159,dist1,6274,NIWOT ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000006CDFA3FE7A495AC038F65E7CD10C4440
159,dist2,120,APEX HOME SCHOOL ENRICHMENT PROGRAM,Kindergarten,12th Grade,BOULDER,0101000000E0486760E44A5AC0F042572250094440
159,dist3,3882,HEATHERWOOD ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000001075E61E124B5AC0085E11FC6F074440
16,dist1,3655,GREENLEE ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000088D51F6118405AC0D0DF844204DE4340
16,dist2,2207,DOWNTOWN DENVER EXPEDITIONARY SCHOOL,Kindergarten,5th Grade,DENVER,0101000000E475C4211B3F5AC0A89BFD8172DF4340
16,dist3,6088,DORA MOORE ECE-8 SCHOOL,Preschool,8th Grade,DENVER,01010000008CD5E6FF553E5AC0B0E908E066DD4340
160,dist1,5181,RED HAWK ELEMENTARY,Preschool,5th Grade,BOULDER,010100000038D4B66114445AC0A86E2EFEB6054440
160,dist2,2758,ERIE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,01010000001884F23E8E435AC0E04B1AA375064440
160,dist3,6962,PIONEER BILINGUAL ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000D80C7041B6455AC05074081C09004440
162,dist1,7592,ALICIA SANCHEZ INTERNATIONAL SCHOOL,Preschool,5th Grade,BOULDER,010100000074336ABE4A455AC0B8B019E082FE4340
162,dist2,6816,PEAK TO PEAK CHARTER SCHOOL,Kindergarten,12th Grade,BOULDER,0101000000D4AC33BE2F455AC06010035DFBFE4340
162,dist3,7528,RYAN ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000042159C004475AC048A12C7C7DFD4340
163,dist1,4874,LAFAYETTE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,010100000030293E3E21465AC01072DEFFC7FF4340
163,dist2,6962,PIONEER BILINGUAL ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000D80C7041B6455AC05074081C09004440
163,dist3,7528,RYAN ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000042159C004475AC048A12C7C7DFD4340
164,dist1,1725,COAL CREEK ELEMENTARY SCHOOL,Kindergarten,5th Grade,BOULDER,0101000000901150E1084A5AC058401361C3FD4340
164,dist2,2940,FIRESIDE ELEMENTARY SCHOOL,Preschool,5th Grade,BOULDER,0101000000EC66463F1A4A5AC0D0FA5B02F0FB4340
